,index,archive_date,market_open,market_high,market_low,market_close,market_volume,market_ticker,macro_open,macro_high,macro_low,macro_close,indicators_rsi,indicators_sma,indicators_ema,Unnamed: 0,financial_share,fin_pos_share_count,fin_neg_share_count,fin_neu_share_count,fin_pos_share,fin_neg_share,fin_neu_share
104,440,03.03.2026,94.1,94.37,87.33,90.2,50397927.0,USO,0.8554,0.8672,0.854,0.8609,61.595,150.2978,149.5231,14.0,0.2470308788598574,0.3173076923076923,0.5192307692307693,0.1634615384615384,0.2968656755950596,0.5611775360784108,0.1419567883265295
105,443,03.03.2026,82.58,83.37,81.545,82.33,10666305.0,SHEL,0.8554,0.8672,0.854,0.8609,61.595,150.2978,149.5231,14.0,0.2470308788598574,0.3173076923076923,0.5192307692307693,0.1634615384615384,0.2968656755950596,0.5611775360784108,0.1419567883265295
106,438,03.03.2026,190.515,191.5599,187.4201,188.77,14004161.0,CVX,0.8554,0.8672,0.854,0.8609,61.595,150.2978,149.5231,14.0,0.2470308788598574,0.3173076923076923,0.5192307692307693,0.1634615384615384,0.2968656755950596,0.5611775360784108,0.1419567883265295
107,439,03.03.2026,57.385,57.72,56.05,56.52,154770813.0,XLE,0.8554,0.8672,0.854,0.8609,61.595,150.2978,149.5231,14.0,0.2470308788598574,0.3173076923076923,0.5192307692307693,0.1634615384615384,0.2968656755950596,0.5611775360784108,0.1419567883265295
108,444,03.04.2026,187.45,188.46,184.15,186.03,11054382.0,CVX,0.8611,0.8639,0.8578,0.8595,57.5306,149.9636,149.5627,15.0,0.0990990990990991,0.3636363636363636,0.3636363636363636,0.2727272727272727,0.341069257154704,0.4184640729562155,0.2404666698890805
109,445,03.04.2026,90.22,91.59,89.11,91.56,28457330.0,USO,0.8611,0.8639,0.8578,0.8595,57.5306,149.9636,149.5627,15.0,0.0990990990990991,0.3636363636363636,0.3636363636363636,0.2727272727272727,0.341069257154704,0.4184640729562155,0.2404666698890805
110,446,03.04.2026,82.475,82.98,81.57,82.7,5563757.0,SHEL,0.8611,0.8639,0.8578,0.8595,57.5306,149.9636,149.5627,15.0,0.0990990990990991,0.3636363636363636,0.3636363636363636,0.2727272727272727,0.341069257154704,0.4184640729562155,0.2404666698890805
111,447,03.04.2026,56.06,56.43,55.325,56.19,70732742.0,XLE,0.8611,0.8639,0.8578,0.8595,57.5306,149.9636,149.5627,15.0,0.0990990990990991,0.3636363636363636,0.3636363636363636,0.2727272727272727,0.341069257154704,0.4184640729562155,0.2404666698890805
112,448,03.04.2026,150.72,151.16,147.86,149.82,16764761.0,XOM,0.8611,0.8639,0.8578,0.8595,57.5306,149.9636,149.5627,15.0,0.0990990990990991,0.3636363636363636,0.3636363636363636,0.2727272727272727,0.341069257154704,0.4184640729562155,0.2404666698890805
113,449,03.04.2026,38.8,39.01,38.355,38.84,7551114.0,BP,0.8611,0.8639,0.8578,0.8595,57.5306,149.9636,149.5627,15.0,0.0990990990990991,0.3636363636363636,0.3636363636363636,0.2727272727272727,0.341069257154704,0.4184640729562155,0.2404666698890805
114,453,03.05.2026,56.53,57.06,56.08,56.48,85177811.0,XLE,0.8595,0.8651,0.8584,0.8613,58.8966,150.0229,149.7223,,,,,,,,
115,454,03.05.2026,186.6,189.97,186.49,189.9,13567158.0,CVX,0.8595,0.8651,0.8584,0.8613,58.8966,150.0229,149.7223,,,,,,,,
116,452,03.05.2026,151.0,152.33,149.47,150.76,22969271.0,XOM,0.8595,0.8651,0.8584,0.8613,58.8966,150.0229,149.7223,,,,,,,,
117,455,03.05.2026,82.94,83.48,82.27,82.94,6447577.0,SHEL,0.8595,0.8651,0.8584,0.8613,58.8966,150.0229,149.7223,,,,,,,,
118,450,03.05.2026,39.28,39.49,38.925,39.3,11974712.0,BP,0.8595,0.8651,0.8584,0.8613,58.8966,150.0229,149.7223,,,,,,,,
119,451,03.05.2026,94.46,98.83,94.055,96.31,47311258.0,USO,0.8595,0.8651,0.8584,0.8613,58.8966,150.0229,149.7223,,,,,,,,
120,459,03.06.2026,83.74,85.16,82.88,84.7,9924904.0,SHEL,0.8613,0.866,0.8604,0.8607,59.567,150.22,149.9207,,,,,,,,
121,456,03.06.2026,39.69,40.5963,39.335,40.44,23635306.0,BP,0.8613,0.866,0.8604,0.8607,59.567,150.22,149.9207,,,,,,,,
122,457,03.06.2026,105.38,109.98,104.53,108.77,68721956.0,USO,0.8613,0.866,0.8604,0.8607,59.567,150.22,149.9207,,,,,,,,
123,461,03.06.2026,153.15,153.8,149.96,151.21,21136427.0,XOM,0.8613,0.866,0.8604,0.8607,59.567,150.22,149.9207,,,,,,,,
124,460,03.06.2026,190.88,192.41,188.12,189.94,13073120.0,CVX,0.8613,0.866,0.8604,0.8607,59.567,150.22,149.9207,,,,,,,,
125,458,03.06.2026,57.15,57.34,56.17,56.57,68219040.0,XLE,0.8613,0.866,0.8604,0.8607,59.567,150.22,149.9207,,,,,,,,
126,462,03.09.2026,85.145,86.78,84.785,85.59,10234443.0,SHEL,0.8643,0.869,0.8591,0.8593,57.8288,150.5236,149.9899,,,,,,,,
127,463,03.09.2026,190.995,191.65,188.11,189.44,15987487.0,CVX,0.8643,0.869,0.8591,0.8593,57.8288,150.5236,149.9899,,,,,,,,
128,464,03.09.2026,119.42,124.07,98.47,104.33,143771885.0,USO,0.8643,0.869,0.8591,0.8593,57.8288,150.5236,149.9899,,,,,,,,
129,465,03.09.2026,56.84,57.15,55.94,56.32,88747415.0,XLE,0.8643,0.869,0.8591,0.8593,57.8288,150.5236,149.9899,,,,,,,,
130,466,03.09.2026,152.015,153.8899,149.47,150.44,25532656.0,XOM,0.8643,0.869,0.8591,0.8593,57.8288,150.5236,149.9899,,,,,,,,
131,467,03.09.2026,40.52,41.2,40.185,40.65,22075361.0,BP,0.8643,0.869,0.8591,0.8593,57.8288,150.5236,149.9899,,,,,,,,
132,472,03.10.2026,40.4,40.75,39.49,39.94,17491531.0,BP,0.8593,0.8615,0.8569,0.8612,52.8466,150.3414,149.7419,,,,,,,,
133,471,03.10.2026,85.59,86.12,84.41,85.11,8617498.0,SHEL,0.8593,0.8615,0.8569,0.8612,52.8466,150.3414,149.7419,,,,,,,,
134,473,03.10.2026,149.25,150.4,147.7,148.13,19617590.0,XOM,0.8593,0.8615,0.8569,0.8612,52.8466,150.3414,149.7419,,,,,,,,
135,469,03.10.2026,188.63,189.18,185.64,186.29,11999554.0,CVX,0.8593,0.8615,0.8569,0.8612,52.8466,150.3414,149.7419,,,,,,,,
136,468,03.10.2026,56.055,56.46,55.365,55.6,88817874.0,XLE,0.8593,0.8615,0.8569,0.8612,52.8466,150.3414,149.7419,,,,,,,,
137,470,03.10.2026,107.13,107.56,94.23,105.86,135401380.0,USO,0.8593,0.8615,0.8569,0.8612,52.8466,150.3414,149.7419,,,,,,,,
138,474,03.11.2026,147.99,151.81,147.66,151.58,15297412.0,XOM,0.8612,0.8649,0.8587,0.8645,58.5854,150.385,149.987,,,,,,,,
