archive_date,market_open,market_high,market_low,market_close,market_volume,market_ticker,macro_open,macro_high,macro_low,macro_close,indicators_rsi,indicators_sma,indicators_ema
2025-12-23,44.37,44.55,44.22,44.5,19137538.0,XLE,0.8506,0.8506,0.8472,0.8478,57.8805,116.8019,116.7062
2025-12-24,70.47,70.58,69.94,70.2,1596350.0,USO,0.8479,0.8494,0.8467,0.849,57.1482,116.9494,116.9329
2025-12-24,119.33,120.05,119.1177,119.22,6137406.0,XOM,0.8479,0.8494,0.8467,0.849,57.1482,116.9494,116.9329
2025-12-24,150.38,150.99,150.1,150.5,2227609.0,CVX,0.8479,0.8494,0.8467,0.849,57.1482,116.9494,116.9329
2025-12-24,34.5,34.56,34.26,34.31,3128625.0,BP,0.8479,0.8494,0.8467,0.849,57.1482,116.9494,116.9329
2025-12-24,72.97,73.01,72.74,72.84,1021045.0,SHEL,0.8479,0.8494,0.8467,0.849,57.1482,116.9494,116.9329
2025-12-24,44.415,44.555,44.31,44.37,11293864.0,XLE,0.8479,0.8494,0.8467,0.849,57.1482,116.9494,116.9329
2025-12-26,150.38,151.14,149.6472,150.02,3706915.0,CVX,0.8485,0.8502,0.8476,0.8493,56.7231,117.1317,117.1148
2025-12-26,118.885,119.55,118.53,119.11,8066129.0,XOM,0.8485,0.8502,0.8476,0.8493,56.7231,117.1317,117.1148
2025-12-26,44.32,44.435,43.99,44.2,17884483.0,XLE,0.8485,0.8502,0.8476,0.8493,56.7231,117.1317,117.1148
2025-12-26,69.66,69.76,68.175,68.48,4224452.0,USO,0.8485,0.8502,0.8476,0.8493,56.7231,117.1317,117.1148
2025-12-26,34.25,34.34,34.125,34.27,3381554.0,BP,0.8485,0.8502,0.8476,0.8493,56.7231,117.1317,117.1148
2025-12-26,72.84,72.99,72.51,72.81,1580789.0,SHEL,0.8485,0.8502,0.8476,0.8493,56.7231,117.1317,117.1148
2025-12-29,120.15,121.2998,119.4,120.53,14782512.0,XOM,0.849,0.8511,0.8482,0.8494,60.779,117.4545,117.4605
2025-12-29,34.605,34.605,34.285,34.45,7542433.0,BP,0.849,0.8511,0.8482,0.8494,60.779,117.4545,117.4605
2025-12-29,73.26,73.455,73.02,73.12,2633258.0,SHEL,0.849,0.8511,0.8482,0.8494,60.779,117.4545,117.4605
2025-12-29,69.85,70.13,69.57,69.61,2757971.0,USO,0.849,0.8511,0.8482,0.8494,60.779,117.4545,117.4605
2025-12-29,44.51,44.74,44.29,44.62,31352054.0,XLE,0.849,0.8511,0.8482,0.8494,60.779,117.4545,117.4605
