,rsi,sma,ema
2001-03-09,60.2661,18.754,18.8377
2001-03-12,50.2517,18.7534,18.8316
2001-03-13,48.4627,18.7499,18.8125
2001-03-14,45.936,18.7247,18.7762
2001-03-15,47.3252,18.7159,18.754
2001-03-16,42.5746,18.6822,18.6974
2001-03-19,41.014,18.6656,18.6352
2001-03-20,38.9189,18.6593,18.5634
2001-03-21,36.1051,18.6338,18.4756
2001-03-22,30.2571,18.5456,18.3365
2001-03-23,28.3802,18.4342,18.192
2001-03-26,35.636,18.3484,18.1071
2001-03-27,46.0556,18.2912,18.1051
2001-03-28,40.2176,18.1759,18.0438
2001-03-29,39.2484,18.0525,17.9799
2001-03-30,49.1778,18.0082,18.0055
2001-04-02,45.0788,17.9489,17.9859
2001-04-03,40.6482,17.873,17.9181
2001-04-04,43.4642,17.8049,17.8832
2001-04-05,50.5127,17.7925,17.9197
2001-04-06,53.7694,17.806,17.9863
2001-04-09,54.8897,17.8356,18.0563
2001-04-10,58.7973,17.9028,18.1615
2001-04-11,52.0803,17.9707,18.1911
2001-04-12,52.2514,18.0525,18.2185
2001-04-16,58.9585,18.1534,18.3186
2001-04-17,59.3444,18.2186,18.4101
2001-04-18,60.397,18.3225,18.5019
2001-04-19,57.7882,18.4212,18.5612
2001-04-20,59.7697,18.488,18.6341
2001-04-23,66.4383,18.6226,18.782
2001-04-24,64.3676,18.7763,18.8948
2001-04-25,67.7622,18.9428,19.0405
2001-04-26,66.7352,19.0697,19.1596
2001-04-27,67.2036,19.1813,19.2691
2001-04-30,65.0431,19.2789,19.3502
2001-05-01,65.5615,19.3558,19.4265
2001-05-02,55.3888,19.4289,19.4238
2001-05-03,53.8247,19.4946,19.4096
2001-05-04,58.4097,19.5426,19.4405
2001-05-07,60.2843,19.5984,19.4865
2001-05-08,61.8746,19.6563,19.5429
2001-05-09,64.595,19.7407,19.621
2001-05-10,59.1245,19.7947,19.6534
2001-05-11,57.0848,19.796,19.6677
2001-05-14,61.5003,19.8282,19.7227
2001-05-15,62.6373,19.8412,19.7822
2001-05-16,62.789,19.8587,19.8352
2001-05-17,58.827,19.8606,19.858
2001-05-18,63.555,19.8934,19.9219
2001-05-21,56.6452,19.8997,19.9337
2001-05-22,56.8543,19.9438,19.9458
2001-05-23,50.1682,19.9696,19.91
2001-05-24,52.7337,19.9827,19.8987
2001-05-25,53.3992,19.9883,19.8941
2001-05-29,52.0076,19.9803,19.8811
2001-05-30,56.3744,19.9738,19.902
2001-05-31,55.7616,19.9842,19.9165
2001-06-01,56.6082,20.0053,19.935
2001-06-04,63.6501,20.0338,20.0077
2001-06-05,65.9305,20.0677,20.0922
2001-06-06,54.8625,20.0661,20.1009
2001-06-07,53.866,20.0733,20.1018
2001-06-08,54.7116,20.0603,20.1089
2001-06-11,55.9939,20.0756,20.1243
2001-06-12,57.7397,20.0967,20.1504
2001-06-13,56.9289,20.1403,20.1687
2001-06-14,50.7365,20.1551,20.1506
2001-06-15,50.9905,20.168,20.1365
2001-06-18,48.9256,20.1796,20.1128
2001-06-19,48.2063,20.1719,20.0884
2001-06-20,44.7202,20.1558,20.0479
2001-06-21,48.9448,20.1474,20.0333
2001-06-22,51.8582,20.1168,20.0357
2001-06-25,49.4862,20.0683,20.0261
2001-06-26,49.7401,20.0551,20.0189
2001-06-27,42.1044,20.0239,19.9724
2001-06-28,40.1243,19.9828,19.9201
2001-06-29,43.8897,19.9453,19.8907
2001-07-02,46.2917,19.9066,19.8757
2001-07-03,44.1959,19.8644,19.8519
2001-07-05,42.2505,19.8349,19.821
2001-07-06,41.1043,19.8014,19.7883
2001-07-09,40.6295,19.7727,19.7575
2001-07-10,35.3522,19.7307,19.7019
2001-07-11,31.6203,19.6859,19.6294
2001-07-12,36.1042,19.6382,19.5816
2001-07-13,40.554,19.591,19.5562
2001-07-16,40.638,19.5503,19.5344
2001-07-17,36.7764,19.4978,19.4947
2001-07-18,31.8211,19.4499,19.4288
2001-07-19,46.0592,19.4393,19.4291
2001-07-20,49.396,19.4291,19.4462
2001-07-23,41.0056,19.3856,19.4093
2001-07-24,30.9375,19.2987,19.2853
2001-07-25,42.4706,19.2545,19.2476
2001-07-26,47.2919,19.2326,19.2504
2001-07-27,47.3724,19.2123,19.2535
2001-07-30,45.0036,19.1972,19.2369
2001-07-31,40.5664,19.1741,19.1834
2001-08-01,39.5331,19.1379,19.1274
2001-08-02,40.8514,19.0973,19.0867
2001-08-03,37.6551,19.0414,19.0232
2001-08-06,35.0768,18.9834,18.9434
2001-08-07,40.7267,18.9594,18.9062
2001-08-08,39.8116,18.9004,18.8661
2001-08-09,39.2995,18.8302,18.8272
2001-08-10,43.775,18.8006,18.8176
2001-08-13,44.3276,18.822,18.8124
2001-08-14,42.0997,18.7979,18.7927
2001-08-15,46.1782,18.7661,18.7968
2001-08-16,44.1679,18.7271,18.7877
2001-08-17,37.3335,18.672,18.7302
2001-08-20,40.7073,18.6468,18.6973
2001-08-21,37.8833,18.6151,18.647
2001-08-22,41.7515,18.5896,18.6227
2001-08-23,43.869,18.5851,18.6126
2001-08-24,52.2763,18.62,18.6528
2001-08-27,46.2851,18.6168,18.6484
2001-08-28,41.9807,18.6003,18.6119
2001-08-29,40.9923,18.5819,18.5724
2001-08-30,39.2325,18.543,18.5242
2001-08-31,39.2325,18.5025,18.4825
2001-09-04,46.2181,18.4895,18.4826
2001-09-05,50.9726,18.4805,18.5111
2001-09-06,47.8697,18.4678,18.5165
2001-09-07,47.8697,18.4817,18.5211
2001-09-10,51.5072,18.4976,18.5457
2001-09-17,41.5078,18.4898,18.5011
2001-09-18,36.781,18.45,18.422
2001-09-19,30.7572,18.3696,18.2886
2001-09-20,25.0237,18.218,18.089
2001-09-21,21.3537,18.0489,17.8441
2001-09-24,21.6656,17.8983,17.6336
2001-09-25,26.0853,17.7654,17.4765
2001-09-26,25.1047,17.6313,17.3241
2001-09-27,44.9846,17.5752,17.3378
2001-09-28,50.7137,17.5315,17.4089
2001-10-01,48.9763,17.4625,17.4517
2001-10-02,53.9128,17.433,17.5433
2001-10-03,52.9926,17.3987,17.6136
2001-10-04,56.901,17.3773,17.7193
2001-10-05,57.4671,17.3948,17.8176
2001-10-08,58.7919,17.4421,17.9178
2001-10-09,59.4449,17.5279,18.012
2001-10-10,65.4406,17.6984,18.1674
2001-10-11,63.8573,17.9012,18.2905
2001-10-12,64.8221,18.1095,18.4094
2001-10-15,59.361,18.2835,18.4737
2001-10-16,59.929,18.4694,18.5354
2001-10-17,57.2571,18.5673,18.5702
2001-10-18,49.3135,18.5997,18.5375
2001-10-19,50.3129,18.6467,18.5176
2001-10-22,54.3301,18.6833,18.5354
2001-10-23,52.3649,18.7166,18.5357
2001-10-24,45.2443,18.6933,18.4749
2001-10-25,50.2896,18.6891,18.4645
2001-10-26,53.5797,18.693,18.4858
2001-10-29,50.8264,18.6807,18.4812
2001-10-30,43.1584,18.5893,18.4035
2001-10-31,43.101,18.5038,18.3355
2001-11-01,50.4776,18.4455,18.3395
2001-11-02,45.9723,18.3842,18.2988
